Dockerfile,Component,Origin,License,Distributed by you?,Comments
Dockerfile-camcalibration,kubernetes==33.1.0,pypi,Apache-2.0,Y,unused
Dockerfile-camcalibration,packaging==25.0,pypi,Apache-2.0,Y,imported
Dockerfile-camcalibration,requests==2.32.4,pypi,Apache-2.0,Y,imported
Dockerfile-camcalibration,requests-toolbelt==1.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-camcalibration,retrying==1.4.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-camcalibration,rsa==4.9.1,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-camcalibration,umf==0.11.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-controller,asttokens==3.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-controller,importlib_metadata==8.7.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-controller,packaging==25.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-controller,requests==2.32.4,pypi,Apache-2.0,Y,imported
Dockerfile-controller,retrying==1.4.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,asttokens==3.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,cachetools==5.5.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,google-auth==2.40.3,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,importlib_metadata==8.7.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,kubernetes==33.1.0,pypi,Apache-2.0,Y,imported
Dockerfile-manager,packaging==25.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,requests==2.32.4,pypi,Apache-2.0,Y,imported
Dockerfile-manager,requests-toolbelt==1.0.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,retrying==1.4.2,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,rsa==4.9.1,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-manager,websocket-client==1.8.0,pypi,Apache-2.0,Y,indirect dependency. auto installed
Dockerfile-camcalibration,libllvm15:amd64:1:15.0.7-0ubuntu0.22.04.3,Ubuntu,Apache-2.0 and BSD-3-Clause and MIT,Y,used by openvino
Dockerfile-manager,libjson-perl:4.04000-1,Ubuntu,Artistic License 1.0,Y,indirect dependency automatically installed
Dockerfile-manager,libperl5.34:amd64:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
Dockerfile-manager,perl:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
Dockerfile-manager,perl-base:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
Dockerfile-manager,perl-modules-5.34:5.34.0-3ubuntu1.5,Ubuntu,Artistic License or GPL-1.0,Y,indirect dependency automatically installed
Dockerfile-controller,fonts-dejavu-core:2.37-8,Ubuntu,Bitstream Vera License,Y,indirect dependency automatically installed
Dockerfile-controller,fonts-dejavu-mono:2.37-8,Ubuntu,Bitstream Vera License,Y,indirect dependency automatically installed
Dockerfile-manager,bzip2:1.0.8-5build1,Ubuntu,BSD License,Y,used during initialization to unzip sample database
Dockerfile-manager,libbsd0:amd64:0.11.5-1,Ubuntu,BSD License,Y,indirect dependency automatically installed
Dockerfile-manager,libedit2:amd64:3.1-20210910-1build1,Ubuntu,BSD License,Y,indirect dependency automatically installed
Dockerfile-camcalibration,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
Dockerfile-controller,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
Dockerfile-manager,kiwisolver==1.4.8,pypi,BSD License,Y,indirect dependency. auto installed
Dockerfile-controller,libaec0:amd64:1.1.2-1build1,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libaom3:amd64:3.8.2-2ubuntu0.1,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libarchive13t64:amd64:3.7.2-2ubuntu0.5,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libopenjp2-7:amd64:2.5.0-2ubuntu0.3,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libmpdec3:amd64:2.5.1-2build2,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
Dockerfile-secrets,libmpdec3:2.5.1-2build2,Ubuntu,BSD-2-Clause,N,indirect dependency automatically installed
Dockerfile-camcalibration,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,pyasn1==0.6.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,pyasn1_modules==0.4.2,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-controller,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,pyasn1==0.6.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-manager,pyasn1_modules==0.4.2,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,libmpdec3:amd64:2.5.1-2build2,Ubuntu,BSD-2-Clause and GPL-2.0,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libbsd0:amd64:0.11.5-1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libedit2:amd64:3.1-20210910-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-camcalibration,libmd0:amd64:1.0.4-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libarpack2t64:amd64:3.9.1-1.1build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libblas3:amd64:3.12.0-3build1.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libblosc1:amd64:1.21.5+ds-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libbsd0:amd64:0.12.1-1build1.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libcharls2:amd64:2.4.2-2build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libcurl3t64-gnutls:amd64:8.5.0-2ubuntu10.6,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
